,id,id_download_nonleak,sentinel_img_date_nonleak,landsat_img_date_nonleak,date_diff_img_nonleak,date_diff_leak_nonleak,sentinel_cloud_nonleak,landsat_cloud_nonleak,rmse_nonleak
196,24324.0,24324.0,2020-08-15,2020-08-16,1 days,25 days,0.366072,46.55,243.88532595256135
197,25028.0,25028.0,2020-08-15,2020-08-16,1 days,24 days,0.366072,46.55,351.42809659780073
198,24207.0,24207.0,2020-08-15,2020-08-16,1 days,24 days,0.366072,46.55,395.1100669913085
199,25121.0,25121.0,2020-08-15,2020-08-16,1 days,24 days,0.366072,46.55,542.4263456368936
200,24342.0,24342.0,2020-08-15,2020-08-16,1 days,23 days,0.366072,46.55,463.2792808845197
201,24296.0,24296.0,2020-08-15,2020-08-16,1 days,22 days,0.366072,46.55,1140.3653933654318
202,25129.0,25129.0,2020-08-15,2020-08-16,1 days,22 days,0.366072,46.55,451.86164420698253
203,25130.0,25130.0,2020-08-15,2020-08-16,1 days,22 days,0.366072,46.55,780.3537421052026
204,24382.0,24382.0,2020-08-15,2020-08-16,1 days,22 days,0.366072,46.55,375.45362254731634
205,24212.0,24212.0,2020-08-15,2020-08-16,1 days,19 days,0.366072,46.55,383.15684457242986
206,24290.0,24290.0,2020-08-15,2020-08-16,1 days,18 days,0.366072,46.55,685.5106561630222
207,24304.0,24304.0,2020-08-15,2020-08-16,1 days,18 days,0.366072,46.55,350.36940921507374
208,24285.0,24285.0,2020-08-30,2020-09-01,2 days,31 days,8.657436,29.81,916.2107222108525
209,24234.0,24234.0,2020-08-30,2020-09-01,2 days,32 days,8.657436,29.81,275.10951984738756
210,24395.0,24395.0,2020-08-30,2020-09-01,2 days,31 days,8.657436,29.81,508.0067757122388
211,25021.0,25021.0,2020-08-30,2020-09-01,2 days,31 days,8.657436,29.81,1031.9662119643676
212,25299.0,25299.0,2020-08-30,2020-09-01,2 days,31 days,8.657436,29.81,496.17379517526285
213,24317.0,24317.0,2020-08-30,2020-09-01,2 days,27 days,8.657436,29.81,1316.9087898624584
214,24281.0,24281.0,2020-08-30,2020-09-01,2 days,26 days,8.657436,29.81,1402.753911883153
215,25421.0,25421.0,2020-08-30,2020-09-01,2 days,26 days,8.657436,29.81,1183.7304252042572
216,25467.0,25467.0,2020-08-30,2020-09-01,2 days,25 days,8.657436,29.81,1330.0183724658
217,25501.0,25501.0,2020-08-30,2020-09-01,2 days,25 days,8.657436,29.81,837.1156919490022
218,25608.0,25608.0,2020-08-30,2020-09-01,2 days,24 days,8.657436,29.81,1027.2882135748491
219,24595.0,24595.0,2020-08-30,2020-09-01,2 days,24 days,8.657436,29.81,1342.4136331050545
220,24402.0,24402.0,2020-08-30,2020-09-01,2 days,24 days,8.657436,29.81,1265.9306784316389
221,24238.0,24238.0,2020-08-30,2020-09-01,2 days,24 days,8.657436,29.81,1171.6425378598665
222,25462.0,25462.0,2020-08-30,2020-09-01,2 days,24 days,8.657436,29.81,1208.4553835209506
223,25440.0,25440.0,2020-08-30,2020-09-01,2 days,24 days,8.657436,29.81,1301.050799955344
224,25461.0,25461.0,2020-08-30,2020-09-01,2 days,23 days,8.657436,29.81,486.5667667816432
225,25460.0,25460.0,2020-08-30,2020-09-01,2 days,23 days,8.657436,29.81,746.7348654469595
226,25408.0,25408.0,2020-08-30,2020-09-01,2 days,22 days,8.657436,29.81,472.5550651547013
227,25585.0,25585.0,2020-08-30,2020-09-01,2 days,20 days,8.657436,29.81,1100.1726793460589
228,25455.0,25455.0,2020-08-30,2020-09-01,2 days,20 days,8.657436,29.81,567.5115071839407
229,25488.0,25488.0,2020-08-30,2020-09-01,2 days,19 days,8.657436,29.81,1217.0297894619277
230,25525.0,25525.0,2020-08-30,2020-09-01,2 days,19 days,8.657436,29.81,1210.7517346574034
231,25138.0,25138.0,2020-08-30,2020-09-01,2 days,19 days,8.657436,29.81,823.5356459434205
232,25531.0,25531.0,2020-08-30,2020-09-01,2 days,19 days,8.657436,29.81,1303.2382452578897
233,25344.0,25344.0,2020-08-30,2020-09-01,2 days,18 days,8.657436,29.81,1028.2338483516776
234,25429.0,25429.0,2020-08-30,2020-09-01,2 days,18 days,8.657436,29.81,316.1840802363167
235,25345.0,25345.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,1112.6788475829733
236,25484.0,25484.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,173.0872765534648
237,25367.0,25367.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,1043.2569595272414
238,25459.0,25459.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,1063.9175933153388
239,25458.0,25458.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,281.2265142083357
240,25533.0,25533.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,1434.43309662625
241,25640.0,25640.0,2020-08-30,2020-09-01,2 days,17 days,8.657436,29.81,708.0781859837524
242,25605.0,25605.0,2020-08-30,2020-09-01,2 days,16 days,8.657436,29.81,638.0378364996443
243,25498.0,25498.0,2020-08-30,2020-09-01,2 days,15 days,8.657436,29.81,685.5053411595114
