Id,FECHA DE CREACIÓN,FECHA DE INICIO,FECHA FINAL,CODUNIDAD,FECHALEGALIZACION,NOMBREESTADO,NOMBRETRABAJO,CAUSAL,X,Y
1316,27/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",780060.9384,2420879.056
1317,27/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782185.3112,2421116.44
1318,26/12/2022,22/12/2022,22/12/2022,757,26/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",785987.6933,2420539.312
1319,15/12/2022,15/12/2022,15/12/2022,465,15/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778371.5307,2418311.934
1320,16/12/2022,18/12/2022,18/12/2022,487,18/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",777312.5068,2426539.338
1321,15/12/2022,15/12/2022,15/12/2022,447,15/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",777593.1087,2426491.903
1322,14/12/2022,12/12/2022,12/12/2022,757,14/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",784846.3889,2419321.742
1323,20/12/2022,22/12/2022,22/12/2022,757,22/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778636.7514,2420677.903
1324,24/12/2022,28/12/2022,28/12/2022,757,28/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,781808.2144,2421585.117
1325,20/12/2022,20/12/2022,20/12/2022,757,20/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"CANCELADA, SE GENERA FTC",784345.8558,2424195.035
1326,22/12/2022,23/12/2022,23/12/2022,757,27/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",776986.4597,2420773.903
1328,31/12/2022,28/12/2022,28/12/2022,757,31/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",780007.1959,2420481.917
1329,13/12/2022,14/12/2022,14/12/2022,456,14/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",777989.4368,2426778.829
1333,16/12/2022,18/12/2022,18/12/2022,487,18/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,778958.0771,2424306.931
1334,21/12/2022,21/12/2022,21/12/2022,757,21/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",782452.7177,2414190.926
1335,21/12/2022,29/12/2022,30/12/2022,757,30/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,SE CANCELA,783019.9926,2418167.67
1337,24/12/2022,16/12/2022,16/12/2022,757,24/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",785131.4591,2421108.38
1338,24/12/2022,16/12/2022,16/12/2022,757,24/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",785119.8892,2421105.196
1339,24/12/2022,18/12/2022,18/12/2022,757,24/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778760.4367,2423219.614
1340,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778182.7163,2421750.645
1341,25/12/2022,21/12/2022,21/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, SE GENERA BA",778915.6052,2422116.083
1342,25/12/2022,25/12/2022,25/12/2022,757,25/12/2022,Cerrada,FTA - FUGA EN TOMA DE AGUA,"EJECUTADA, NO GENERA BA",783016.7284,2423230.064
